CountryCode,Country,SeriesCode,MDG,Series,1990,Footnotes,Type,1991,Footnotes,Type,1992,Footnotes,Type,1993,Footnotes,Type,1994,Footnotes,Type,1995,Footnotes,Type,1996,Footnotes,Type,1997,Footnotes,Type,1998,Footnotes,Type,1999,Footnotes,Type,2000,Footnotes,Type,2001,Footnotes,Type,2002,Footnotes,Type,2003,Footnotes,Type,2004,Footnotes,Type,2005,Footnotes,Type,2006,Footnotes,Type,2007,Footnotes,Type,2008,Footnotes,Type,2009,Footnotes,Type,2010,Footnotes,Type,2011,Footnotes,Type,2012,Footnotes,Type,2013,Footnotes,Type,2014,Footnotes,Type,2015,Footnotes,Type,2016,Footnotes,Type,2017,Footnotes,Type
"76","Brazil","743","N","Primary completion rate, both sexes","","","","","",""," "," "," "," "," "," "," "," "," ","","","","","","","","","","","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," "," "," "," "," "," "," "," "," "
"92","British Virgin Islands","743","N","Primary completion rate, both sexes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.7","","E","90.6","","C","97.0","","C","90.8","","C","89.6","","C","75.9","","C","","","","69.9","","C"," "," "," ","78.4","","C","84.0","","C","88.3","","C","","",""," "," "," "," "," "," "," "," "," "
"96","Brunei Darussalam","743","N","Primary completion rate, both sexes","","","","99.0","","C","101.0","","C","100.1","","C","103.5","","C","101.7","","C","","","","111.0","","C","116.8","","C","117.8","","C","115.9","","C","121.5","","C","116.7","","C","118.9","","C","110.5","","C","107.0","","C","108.4","","C","109.5","","C","109.3","","C","107.1","","C","108.9","","C","109.6","","C","101.9","","C","97.9","","C","","",""," "," "," "," "," "," "," "," "," "
"100","Bulgaria","743","N","Primary completion rate, both sexes","99.5","","C","89.6","","C","87.9","","C","86.4","","C","88.6","","C","88.3","","C","90.7","","C","94.7","","C","94.1","","C","96.3","","C","96.6","","C","102.6","","C","97.9","","C","99.6","","C","100.4","","C","99.2","","C","97.4","","C","97.5","","C","89.7","","C","94.2","","C","105.1","","C","104.4","","C","98.2","","C","96.9","","C","","",""," "," "," "," "," "," "," "," "," "
"854","Burkina Faso","743","N","Primary completion rate, both sexes","19.5","","C","20.0","","C","26.7","","C","26.2","","C","27.1","","C","18.6","","C","22.6","","C","","","","","","","23.5","","C","25.4","","C","26.7","","C","27.5","","C","29.1","","C","30.4","","C","31.7","","C","32.8","","C","35.0","","C","38.9","","C","43.9","","C","47.0","","C"," "," "," ","57.6","","C","62.7","","C","","",""," "," "," "," "," "," "," "," "," "
"108","Burundi","743","N","Primary completion rate, both sexes","40.6","","C","44.8","","C","47.7","","C","50.8","","C","","","","","","","","","","","","","","","","","","","23.9","","C","24.3","","C","24.8","","C","29.3","","C","31.6","","C","33.8","","C"," "," "," ","38.5","","C","41.3","","C","47.8","","C","50.8","","C","55.5","","C","62.2","","C","70.0","","C","","",""," "," "," "," "," "," "," "," "," "
"116","Cambodia","743","N","Primary completion rate, both sexes","","","","","","","","","","","","","44.9","","C","42.5","","C","","","","16.9","","C","32.2","","C","41.0","","C","","","","51.2","","C","59.4","","C","65.9","","C","76.5","","C","85.8","","C","89.1","","C","92.4","","C","89.1","","C","88.0","","C","91.3","","C","93.4","","C","98.1","","C","97.3","","C","","",""," "," "," "," "," "," "," "," "," "
"120","Cameroon","743","N","Primary completion rate, both sexes","55.6","","C","54.3","","C","","","","","","","","","","","","","","","","","","","","","","47.8","","E","48.7","","C"," "," "," ","","","","55.3","","C","57.1","","C","","","","49.5","","C","52.6","","C","68.0","","C","67.7","","C","69.8","","C","69.1","","C","72.8","","C","","","","72.0","","C"," "," "," "," "," "," "," "," "," "
"124","Canada","743","N","Primary completion rate, both sexes","","","","","","","","","","","","","","","","","","","","","","","","","94.2","","C","95.7","","C","97.4","","C","","","","","","","","","","","","","","","","96.5","","C","","","","","","","","","","","","","","","","","","","","","","","",""," "," "," "," "," "," "," "," "," "
"132","Cape Verde","743","N","Primary completion rate, both sexes","56.5","","C","","","","","","","","","","72.6","","C","","","","","","","","","","100.0","","C","","","","105.6","","C","99.5","","C","101.4","","E","102.5","","C","100.6","","C","85.8","","C","98.3","","C","92.3","","C","98.7","","C","95.4","","C","100.1","","C","96.9","","C","99.0","","C","94.7","","C","","",""," "," "," "," "," "," "," "," "," "
