CountryCode,Country,SeriesCode,MDG,Series,1990,Footnotes,Type,1991,Footnotes,Type,1992,Footnotes,Type,1993,Footnotes,Type,1994,Footnotes,Type,1995,Footnotes,Type,1996,Footnotes,Type,1997,Footnotes,Type,1998,Footnotes,Type,1999,Footnotes,Type,2000,Footnotes,Type,2001,Footnotes,Type,2002,Footnotes,Type,2003,Footnotes,Type,2004,Footnotes,Type,2005,Footnotes,Type,2006,Footnotes,Type,2007,Footnotes,Type,2008,Footnotes,Type,2009,Footnotes,Type,2010,Footnotes,Type,2011,Footnotes,Type,2012,Footnotes,Type,2013,Footnotes,Type,2014,Footnotes,Type,2015,Footnotes,Type,2016,Footnotes,Type,2017,Footnotes,Type
"116","Cambodia","745","N","Primary completion rate, girls","","","","","","","","","","","","","","","","35.2","","C","","","","12.7","","C","26.5","","C","35.5","","C","","","","45.9","","C","55.0","","C","62.0","","C","73.1","","C","84.1","","C","88.7","","C","92.4","","C","89.2","","C","88.2","","C","91.7","","C","93.7","","C","98.6","","C","94.7","","C","","",""," "," "," "," "," "," "," "," "," "
"120","Cameroon","745","N","Primary completion rate, girls","53.5","","C","50.3","","C","","","","","","","","","","","","","","","","","","","","","","43.5","","E","45.3","","C"," "," "," ","","","","51.0","","C","52.1","","C","","","","45.5","","C","47.7","","C","62.2","","C","62.0","","C","64.2","","C","63.7","","C","67.6","","C","","","","67.6","","C"," "," "," "," "," "," "," "," "," "
"124","Canada","745","N","Primary completion rate, girls","","","","","","","","","","","","","","","","","","","","","","","","","94.6","","C","96.1","","C","97.5","","C","","","","","","","","","","","","","","","","95.9","","C","","","","","","","","","","","","","","","","","","","","","","","",""," "," "," "," "," "," "," "," "," "
"132","Cape Verde","745","N","Primary completion rate, girls","55.6","","C","","","","","","","","","","70.8","","C","","","","","","","","","","101.6","","C","","","","107.0","","C","100.2","","E","101.6","","E","104.2","","C","100.6","","C","88.9","","C","101.4","","C","94.8","","C","101.3","","C","95.6","","C","99.3","","C","98.4","","C","98.4","","C","93.6","","C","","",""," "," "," "," "," "," "," "," "," "
"136","Cayman Islands","745","N","Primary completion rate, girls","","","","","","","","","","","","","","","","","","","","","","","","","","",""," "," "," "," "," "," "," "," "," "," "," "," ","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","","","","","",""," "," "," "," "," "," "," "," "," ","","",""," "," "," "," "," "," "," "," "," "
"140","Central African Republic","745","N","Primary completion rate, girls","18.8","","C","19.4","","C","15.3","","C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.9","","C","20.1","","C","20.8","","C","","","","26.9","","C","29.6","","C","30.2","","C","32.9","","C","35.2","","C","","","","","",""," "," "," "," "," "," "," "," "," "
"148","Chad","745","N","Primary completion rate, girls","6.3","","C","7.1","","C","","","","","","","8.4","","C","6.6","","C","7.2","","C","7.7","","C","","","","11.3","","C","12.7","","C","14.5","","C","16.6","","C","20.4","","C","22.7","","C","20.4","","C","20.5","","C","","","","","","","23.0","","C","23.5","","C","26.5","","C","27.0","","C","30.1","","C","","",""," "," "," "," "," "," "," "," "," "
"830","Channel Islands","745","N","Primary completion rate, girls","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," "," "," "," "," "," "," "," "," "
"152","Chile","745","N","Primary completion rate, girls","","","","","","","","","","","","","","","","","","","","","","83.1","","C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.9","","C","97.4","","C","96.3","","C","","",""," "," "," "," "," "," "," "," "," "
"156","China","745","N","Primary completion rate, girls","","","","","","","","","","","","","","","","","","","86.3","","C","85.6","","C","","","","","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","","",""," "," "," ","","","","","","","","","","","","","","",""," "," "," "," "," "," "," "," "," "
"344","China, Hong Kong Special Administrative Region","745","N","Primary completion rate, girls","","","","","","","","","","","","","","","","","","","","","","","","","","",""," "," "," ","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","97.3","","C","96.9","","C","","","","90.0","","C","97.2","","C","94.9","","C","","",""," "," "," "," "," "," "," "," "," "
"446","China, Macao Special Administrative Region","745","N","Primary completion rate, girls","96.5","","C","","","","95.9","","C","95.1","","C","","","","","","","","","","","","","","","","101.0","","C"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","","",""," "," "," "," "," "," "," "," "," "
"170","Colombia","745","N","Primary completion rate, girls","85.1","","C","76.2","","C","88.3","","C","86.6","","C","85.0","","C","88.9","","C","89.8","","C","","","","95.7","","C","97.4","","C","97.3","","C","","","","94.9","","C","","","","102.1","","C","105.6","","C","111.3","","C","113.1","","C","112.1","","C","116.6","","C","114.7","","C"," "," "," "," "," "," "," "," "," ","","",""," "," "," "," "," "," "," "," "," "
"174","Comoros","745","N","Primary completion rate, girls","","","","","","","40.7","","C","","","","","","","","","","","","","","","","","","","50.5","","C","","","","","","","61.6","","E","61.3","","C","69.4","","C","","","","","","","68.3","","C","69.8","","C","","","","","","","","","","","","","75.8","","C","","",""," "," "," "," "," "," "," "," "," "
"178","Congo","745","N","Primary completion rate, girls","60.1","","C","51.1","","C","63.5","","C","63.5","","C","53.5","","C","","","","50.2","","C","","","","","","","32.3","","C"," "," "," ","57.4","","C","59.8","","C","55.4","","C","78.7","","C","69.3","","C","74.1","","C","73.4","","E","68.4","","C","67.0","","C","67.2","","C","75.4","","C","77.4","","C","","","","","",""," "," "," "," "," "," "," "," "," "
"184","Cook Islands","745","N","Primary completion rate, girls","","","","","","","","","","","","","","","","","","","","","","","","","103.0","","C","85.9","","C","","","","","","","","","","","","","","","","","","","","",""," "," "," ","","","","","","","97.2","","C","103.6","","C","103.5","","C","102.1","","C","","",""," "," "," "," "," "," "," "," "," "
